order_id,order_date,customer_id,product_id,quantity,product_category,vehicle_model,vehicle_class,configuration,color,condition,age,miles_driven,base_price,current_price,order_value_usd,base_price_usd,options_value_usd,material_cost_usd,labor_cost_usd,shipping_cost_usd,overhead_cost_usd,rush_order_premium_usd,discount,rebate_usd,profit_margin_percent,payment_terms,payment_terms_days,customer_credit_rating,currency,customer_name,customer_type,customer_tier,customer_region,fleet_size,previous_orders_count,customer_satisfaction,sales_channel,customer_revenue_ytd,order_status,cancel_reason,order_priority,requested_delivery_date,planned_delivery_date,actual_delivery_date,cancellation_date,cycle_time_days,on_promise_delivery,delivery_region,delivery_distance,delivery_method,production_plant,production_line,planned_production_start_date,actual_production_start_date,planned_production_end_date,actual_production_end_date,build_complexity,production_capacity_used,capacity_available_percent,labor_hours_required,production_sequence,competing_orders_count,engineering_status,engineering_approval_date,custom_engineering_required,technical_complexity_score,design_changes_count,inventory_shortage_count,parts_availability,backorder_parts_count,longest_lead_time_days,component_sourcing_status,supply_risk_score,key_supplier_issues,supply_chain_status,is_delayed,delay_days,primary_delay_category,delay_reason,secondary_delay_category,revenue_impact_usd,delay_impact_severity,constraint_resolved,resolution_days,escalation_level,previous_constraints_count,constraint_start_date,expected_resolution_date,days_until_requirement,quality_check_status,quality_score,rework_required,order_year,order_month,order_quarter,season,is_holiday_period,demand_factor,promo_available,promo_category,promo_value_discount,promo_value_rebate_usd,promo_applied,storage_holding_cost_usd,late_delivery_penalty_usd
CV-2023-045821,2023-06-01,CUST-10012,BS26656,5,Bus,Transit Bus 40ft,City Bus,"Low Floor, Diesel, 280HP",Green,New,0.0,22,285000,285000.0,1426967.6949960014,285000,393.538999200292,166102.35102302986,47168.68607674071,4918.28399739739,32363.841923590742,0.0,2.73,32519.173542406534,81.52,50% Advance,0,A,USD,City Transit Authority,Government,Silver,US-Midwest,300.0,0,4.5,Direct,1426967.6949960014,Completed,N/A,High,2023-12-01,2023-10-03,2023-10-03,,124.0,True,Brazil-Sao Paulo,2851.7,Rail,High Point-NC,Bus-Line-2,2023-06-13,2023-06-13,2023-09-26,2023-09-26,Standard,5.88,19.2,1000,76,0,Approved,2023-06-05,False,2,0,0,95.58,0,90,In_House,1.0,N/A,Ready,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,0,,,-547,Passed,98.8,False,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
CV-2023-045821,2023-06-01,CUST-10012,BS22492,5,Bus,Transit Bus 40ft,City Bus,"Low Floor, Diesel, 280HP",Black,New,0.0,43,285000,285000.0,1493774.1929153425,285000,13754.83858306847,168473.58629411535,62686.098006865024,1122.588915880106,24313.297813569858,0.0,1.1,31348.1806811936,82.25,50% Advance,0,A,USD,City Transit Authority,Government,Silver,US-Midwest,300.0,0,4.7,Dealership,2920741.887911344,Completed,N/A,High,2023-11-15,2023-10-09,2023-10-09,,130.0,True,US-Midwest,1631.3,Truck,Mississauga-ON,Bus-Line-2,2023-06-14,2023-06-14,2023-09-27,2023-09-27,Standard,7.14,18.55,1000,35,0,Approved,2023-06-10,False,2,3,1,93.26,1,180,Mixed,6.8,N/A,Partial,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,0,,,-563,Passed,93.9,False,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
CV-2023-045822,2023-06-01,CUST-10012,TR79562,1,Truck,eCascadia,Class 8 Truck,"Electric, Day Cab, 470HP",Green,Pre-owned,4.3,154280,285000,101175.00000000004,107002.57945790335,285000,5827.579457903346,159425.38876731685,47961.68091755826,4705.762988028694,30076.2847698142,0.0,1.24,2287.560804297416,-134.23,50% Advance,0,A,USD,City Transit Authority,Government,Silver,US-Midwest,300.0,1,3.9,Online,3027744.467369247,Completed,N/A,Medium,2023-07-03,2023-07-04,2023-07-21,,50.0,False,US-Midwest,2444.8,Rail,Cleveland-OH,Line-B,2023-06-12,2023-06-17,2023-06-30,2023-07-08,Standard,1.0,29.83,120,17,0,Approved,2023-06-09,False,2,0,1,88.62,1,120,External,7.0,N/A,Partial,True,18,Parts/Material,Glass shortage,N/A,0.0,High,True,8.0,Manager,1,2023-06-12,2023-07-21,-698,Passed,98.6,False,2023,6,Q2-2023,Summer,False,1.0,True,Volume,1.72,2000,True,2205.5845971339963,0.0
CV-2023-045823,2023-06-01,CUST-10017,BS27669,5,Bus,School Bus C2,School Bus,"Type C, Diesel, 240HP",Red,Pre-owned,0.7,19276,155000,138725.0,806608.740565665,155000,22596.748113132988,100602.82970101044,29645.57399212711,2174.0813860675244,17213.760356600378,0.0,4.72,29297.51931070215,79.76,Net 60,60,AAA,USD,Federal GSA,Government,Gold,US-Southeast,300.0,0,3.6,Phone,806608.740565665,Completed,N/A,Low,2023-07-28,2023-07-25,2023-08-01,,61.0,False,US-Southeast,1208.8,Truck,Curitiba-Brazil,Bus-Line-1,2023-06-11,2023-06-12,2023-07-13,2023-07-16,Custom,5.56,26.52,1200,40,0,In_Review,,True,8,0,0,91.5,0,120,Mixed,4.0,N/A,Partial,True,4,Parts/Material,Steel allocation,Customer,0.0,Medium,True,5.0,Supervisor,1,2023-06-11,2023-08-01,-673,Failed,79.4,True,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,790.3438183382981,0.0
CV-2023-045824,2023-06-01,CUST-10017,BS25918,20,Bus,Transit Bus 60ft,City Bus,"Articulated, Hybrid, 330HP",Black,New,0.0,47,425000,425000.0,9100527.98527222,425000,30026.399263610994,274488.01361753594,99753.58362406256,2097.073357082243,50265.61504714975,0.0,4.43,206269.70211890564,94.98,Net 60,60,AAA,USD,Federal GSA,Government,Gold,US-Southeast,300.0,1,4.2,Online,9907136.725837884,Completed,N/A,Medium,2023-11-10,2023-09-26,2023-09-26,,117.0,True,Canada-Quebec,1608.2,Rail,Curitiba-Brazil,Bus-Line-2,2023-06-14,2023-06-14,2023-09-18,2023-09-18,Complex,22.22,18.55,4000,56,0,Approved,2023-06-08,True,8,2,2,86.41,2,60,In_House,7.0,N/A,Partial,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,1,,,-568,Passed,94.3,False,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
CV-2023-045824,2023-06-01,CUST-10017,BS27267,5,Bus,Transit Bus 60ft,City Bus,"Articulated, Hybrid, 330HP",Silver,New,0.0,20,425000,425000.0,2375343.463757159,425000,50068.69275143182,254762.8629498597,66196.24730070739,2972.87997045681,41506.01852334741,0.0,3.93,52576.41371535146,83.61,Net 60,60,AAA,USD,Federal GSA,Government,Gold,US-Southeast,300.0,1,4.6,Direct,12282480.189595044,Completed,N/A,High,2023-12-15,2023-10-12,2023-10-26,,147.0,False,Canada-Quebec,2484.6,Rail,Mississauga-ON,Bus-Line-2,2023-06-09,2023-06-09,2023-10-10,2023-10-12,Custom,7.14,7.51,1200,33,1,Pending,,True,6,1,1,83.75,1,120,In_House,8.5,Logistics delays,Partial,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,1,,,-533,Passed,98.1,False,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
CV-2023-045825,2023-06-01,CUST-10012,TR71543,1,Truck,Cascadia DD13,Class 8 Truck,"Day Cab, Manual Trans, 410HP",Green,New,0.0,8,135000,135000.0,140547.5554002099,135000,5547.555400209905,87569.63430976587,25302.655742707622,2167.8896618010094,15189.117663190516,0.0,1.56,5427.025315966088,2.03,50% Advance,0,A,USD,City Transit Authority,Government,Silver,US-Midwest,300.0,2,4.7,Phone,3168292.022769457,Completed,N/A,Low,2023-09-22,2023-09-05,2023-09-05,,96.0,True,US-Northeast,1183.6,Rail,Denton-TX,Line-B,2023-06-15,2023-06-15,2023-08-19,2023-08-19,Standard,0.83,14.46,120,87,0,Approved,2023-06-05,False,1,0,5,97.32,1,90,Mixed,8.7,Labor strike,Partial,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,1,,,-617,In_Progress,,N/A,2023,6,Q2-2023,Summer,False,1.0,True,Volume,3.31,2000,False,0.0,0.0
CV-2023-045825,2023-06-01,CUST-10012,BS23487,5,Bus,Transit Bus 40ft,City Bus,"Low Floor, Diesel, 280HP",Silver,New,0.0,38,285000,285000.0,1455225.818158847,285000,6045.163631769413,157073.57887587146,56106.8282968326,753.3647405682681,24154.52424545602,0.0,1.8,56214.761945162616,82.66,50% Advance,0,A,USD,City Transit Authority,Government,Silver,US-Midwest,300.0,2,3.2,Online,4623517.840928304,Completed,N/A,Low,2023-12-05,2023-10-07,2023-10-07,,128.0,True,US-Northeast,1955.7,Truck,High Point-NC,Bus-Line-1,2023-06-08,2023-06-08,2023-09-26,2023-09-26,Standard,5.88,17.14,1000,84,0,Approved,2023-06-03,False,1,1,0,85.6,0,60,Mixed,3.9,N/A,Partial,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,1,,,-543,Passed,98.6,False,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
CV-2023-045826,2023-06-01,CUST-10012,BS27577,10,Bus,Electric Transit 35ft,City Bus,"Electric, Low Floor, 350HP",Silver,New,0.0,5,385000,385000.0,4004406.0304376464,385000,15440.603043764631,213420.93015697968,93348.76821360843,4636.020718753967,34696.04858703431,0.0,2.71,130694.21501279548,90.81,50% Advance,0,A,USD,City Transit Authority,Government,Silver,US-Midwest,300.0,3,4.3,Direct,8627923.87136595,Canceled,Other,High,2023-11-29,2023-10-15,,2023-11-14,,N/A,US-Midwest,2367.6,Ship,Curitiba-Brazil,Bus-Line-1,2023-06-11,2023-06-24,2023-10-03,2023-11-06,Standard,11.11,13.44,2000,16,1,Approved,2023-06-08,False,1,1,1,85.6,1,180,External,6.8,N/A,Partial,False,0,N/A,N/A,N/A,7116243.994061906,N/A,N/A,,N/A,1,,,-549,N/A,93.3,N/A,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
CV-2023-045827,2023-06-01,CUST-10017,BS28054,5,Bus,Transit Bus 40ft,City Bus,"Low Floor, Diesel, 280HP",Black,New,0.0,10,285000,285000.0,1505548.4308719607,285000,16109.686174392133,166316.31184671348,47585.87726102361,3410.8176275092574,27226.259577484543,0.0,4.35,36310.27470237263,82.58,Net 60,60,AAA,USD,Federal GSA,Government,Gold,US-Southeast,300.0,2,3.4,Direct,13788028.620467003,Completed,N/A,Medium,2023-10-28,2023-09-18,2023-09-05,,96.0,True,US-Southeast,1259.7,Rail,Mississauga-ON,Bus-Line-2,2023-06-11,2023-06-11,2023-09-07,2023-09-04,Complex,7.14,8.26,1000,28,2,Approved,2023-06-10,False,1,0,0,73.28,0,90,External,3.1,N/A,Partial,False,0,N/A,N/A,N/A,0.0,N/A,N/A,,N/A,1,,,-581,Passed,96.1,False,2023,6,Q2-2023,Summer,False,1.3,False,N/A,0.0,0,N/A,0.0,0.0
